NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,356,2011,010121,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010129,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,010130,     90.00,     30.00,     30.00,     30.00,0,0,0,3,3,3
H4,356,2011,010190,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,010221,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,010229,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,010231,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010239,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010290,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,010310,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010391,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010392,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010410,     60.00,     30.00,     30.00,     30.00,0,0,0,2,2,2
H4,356,2011,010420,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,010511,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010512,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010513,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010514,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010515,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010594,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010599,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010611,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,356,2011,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,356,2011,010613,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
